cuestionario,factor,campo,genero,filtro_a,p1edad,edadr,filtro_b,filtro_c,voluntad,p2,p2_1,p2_1_1,p2_2,p2_2_1,p3,p4,p5,p6,p7,p7_1,p7_2,p7_2_1,p7_2_2,p7_2_3,p7_2_4,p7_2_5,p7_2_6,p7_3,p7_3_1,p7_3_2,p7_3_3,p7_3_4,p8,p9estrato,p10,p11,p11_1,p12,p12_1,p13,p14,p15,p15_1,p16,p16_1,p17,p17_v2_1,p17_v2_2,p17_v2_3,p17_v3,p17_v3_otro,p17_v4,p17_v5,p17_v6,p17_v7,p17_v7_1,p18,p18_p1,p18_p2,p18_p3,p18_p4,p18_c1,p19_1,p19comuna,p20,p20_1,p20_1_otro,p21,p22,p23,p23_1,p23_1_1,p23_2,p23_2_1,p23_2_2,p23_2_3,p24,p25,p25_1,p26,p27,p27_1,p27_otro,p28p28_1,p28p28_2,p28p28_3,p28p28_4,p28p28_5,p28p28_6,p28p28_7,p28p28_8,p28p28_9,p29,p29_otro,p30,p30_otro,p31,p32,p33,p33_otro,p34,p34_otro,p35,p35_otro,p36,p37,p38p38_1,p38p38_2,p38p38_3,p38p38_4,p38p38_5,p38p38_6,p38p38_7,p38p38_99,p38_99_otro,p39,p39_1,p39_otro,p39_1_2,p39_1_1,p39_1_otro,p39_2,p40,p41,p47latitude,p47longitude,p47altitude,p47accuracy
386,3022.68518475,Presencial por intersección,Femenino,Si,38,35 - 44 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Universitario,No,Trabajar,"Empleado en empresa, gobierno u organización",De lunes a viernes,,,,,,,,,,,,Con sus hijos y otros familiares,Estrato 6,Entre 300 mil y 500 mil pesos,No,,Ninguna dificultad,,No,No,0,,0,,Metroplus,,,,,,,,,,,,10,5,30,5,,Medellín,Comuna 14 - El Poblado,Medellín,Comuna 11 - Laureles Estadio,,Uno,Entre 6 y 10 km,Ir a trabajar,,,,,,,Muy satisfecho,La comodidad (confort),El tiempo de viaje,Nada me disgusta,Exposición a condiciones climáticas desfavorables (lluvia o calor),Multitud de personas,,3,Nada Importante,Muy importante,Muy importante,3,3,3,2,2,Automóvil en plataforma (Ejemplo:Uber),,Costos asociados,,Vertederos (basureros) y rellenos sanitarios,Moderado,Camión pesado,,Caminata,,"Falta de infraestructura (andenes, ciclorutas, etc.)",,2,Muy influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Mujer,No,6.2661941,-75.5537188,1595.800049,11.476
387,3625.3424142857143,Presencial por intersección,Femenino,Si,19,18 - 24 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Técnico profesional,No,Estudiar,,,,,,,,,De lunes a viernes,,,,,Con otros familiares diferentes a sus hijos o pareja,Estrato 3,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,No,No,0,,0,,"Bus, colectivo, buseta",,,,,,,,,,,,10,20,40,1,,Medellín,Comuna 7 - Robledo,Medellín,Comuna 10 - La Candelaria,,Uno,Entre 6 y 10 km,Ir a estudiar,,,,,,,Satisfecho,El costo (sus posibilidades económicas o capacidad adquisitiva),La distancia que debe recorrer,El tiempo de espera,Exposición a condiciones climáticas desfavorables (lluvia o calor),Costos altos,,Muy importante,Muy importante,Muy importante,Muy importante,4,4,Nada Importante,Nada Importante,Muy importante,Automóvil,,Otra razón ¿Cuál?,Difícil acceso económico,Los vehículos que circulan en la ciudad,Moderado,Automóviles particulares,,Metro,,Inseguridad,,Nada influyente,Nada influyente,No,Si,Si,Si,No,No,No,No,,Mientras caminaba,,,Otro,,Lo insultó,No,Mujer,No,6.3311494,-75.5352253,1487.199951,29.853
388,3625.3424142857143,Presencial por intersección,Femenino,Si,59,55 - 64 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Secundaria completa,No,Es pensionado(a),,,,,,,,,,,,,,Sola(o) con sus hijas o hijos,Estrato 3,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,No,No,0,,0,,"Bus, colectivo, buseta",,,,,,,,,,,,15,30,45,10,,Medellín,Comuna 7 - Robledo,Medellín,Comuna 10 - La Candelaria,,Uno,Entre 6 y 10 km,Ir a trabajar,,,,,,,Satisfecho,El costo (sus posibilidades económicas o capacidad adquisitiva),La distancia que debe recorrer,El tiempo de espera,Exposición a condiciones climáticas desfavorables (lluvia o calor),Tiempos de viaje largos o inciertos,,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,2,Nada Importante,Nada Importante,Muy importante,Campero/ Camioneta (SUV),,Otra razón ¿Cuál?,Deficiencia económica,Los vehículos que circulan en la ciudad,Alto,Automóviles particulares,,Metro,,Inseguridad,,Nada influyente,2,No,No,No,Si,No,No,No,No,,En los paraderos o estaciones,,,Otro,,Insultar a la persona,No,Mujer,No,6.331227,-75.5353058,1478.099976,19.57
389,2939.89516,Presencial por intersección,Femenino,Si,39,35 - 44 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Técnico profesional,No,Trabajar,"Empleado en empresa, gobierno u organización",De lunes a viernes,,,,,,,,,,,,Con su pareja y sus hijos o hijas,Estrato 4,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,No,No,0,,2,2,Moto 4T,,Entre 150 cc y 250 cc,,Gasolina corriente,,2018,Otro municipio del área metropolitana,Acompañante (pasajero o parrilero),Nunca,,20,,,,,,Medellín,Comuna 7 - Robledo,Medellín,Comuna 5 - Castilla,,Uno,Menos de 5 km,Ir a trabajar,,,,,,,Muy satisfecho,El costo (sus posibilidades económicas o capacidad adquisitiva),El tiempo de viaje,Nada me disgusta,Tiempos de espera largos o inciertos,Congestión de tráfico,,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Moto 4T,,Es el medio de transporte que utiliza,,Los vehículos que circulan en la ciudad,Bajo,Automóviles particulares,,Caminata,,Inseguridad,,Nada influyente,3,No,No,No,No,No,No,No,No,,,,,,,,No,Mujer,No,6.3310739,-75.5352637,1479.099976,20.503
390,1128.926214,Presencial por intersección,Masculino,Si,18,18 - 24 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Secundaria completa,No,Trabajar,"Empleado en empresa, gobierno u organización",De lunes a sábado,,,,,,,,,,,,Sola(o),Estrato 1,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,"Sí, motocicleta","Si, motocicleta",0,,1,0,Moto 4T,,Entre 150 cc y 250 cc,,Gasolina corriente,,2024,Otro municipio del área metropolitana,Conductor,Algunas veces,1,20,,,,,,Medellín,Comuna 9 - Buenos Aires,Medellín,Comuna 10 - La Candelaria,,Uno,Menos de 5 km,Ir a trabajar,,,,,,,Muy satisfecho,El costo (sus posibilidades económicas o capacidad adquisitiva),La comodidad (confort),El tiempo de viaje,Congestión de tráfico,,,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Moto 4T,,Es el medio de transporte que utiliza,,Empresas manufactureras,Bajo,Automóviles particulares,,Metro,,Inseguridad,,Nada influyente,4,No,No,No,No,No,No,No,No,,,,,,,,No,Hombre,No,6.3311767,-75.535227,1487.300049,18.451
391,3022.68518475,Presencial por intersección,Femenino,Si,49,45 - 54 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Tecnológico,No,Hacer trabajo doméstico en su propio hogar,,,,,,,,,,,,,,Con su pareja y sus hijos o hijas,Estrato 6,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,"Sí, auto",No,2,1,2,0,Taxi,,,,,,,,,,,35,,,,,,Medellín,Comuna 14 - El Poblado,Medellín,Comuna 10 - La Candelaria,,Dos,Entre 16 y 20 km,"A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo",,,,,,,Ni satisfecho ni insatifecho,La comodidad (confort),,La vulnerabilidad frente accidentes de tránsito,Multitud de personas,,,4,3,4,3,3,3,3,3,3,Automóvil,,Razones de salud,,Construcciones y obras civiles o demoliciones,Moderado,Van/Camioneta con platón,,Caminata,,Inseguridad,,Nada influyente,Nada influyente,No,No,No,No,No,No,Si,No,,En los paraderos o estaciones,,,Avisó a alguna autoridad como la policia,"Cambió de lugar (por ejemplo, caminó hacía otro paradero, o se cambio de puesto en el bus)",,No,Mujer,No,6.3012722,-75.5486856,1628.5,11.148
392,3022.68518475,Presencial por intersección,Femenino,Si,35,35 - 44 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Técnico profesional,No,Trabajar,Trabajador independiente o por cuenta propia,De lunes a domingo,,,,,,,,,,,,Con su pareja y sus hijos o hijas,Estrato 6,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,"Sí, motocicleta","Si, motocicleta",0,,2,1,Moto 4T,,150 cc,,Gasolina corriente,,2024,Medellín,Conductor,Algunas veces,2,25,,,,,,Medellín,Comuna 14 - El Poblado,Sabaneta,No sabe. ¿A dónde se dirige?,Sabaneta,Dos,Entre 11 y 15 km,Ir a trabajar,,,,,,,Muy satisfecho,La comodidad (confort),,Nada me disgusta,Multitud de personas,,,4,4,3,4,4,4,3,4,4,Moto 4T,,Es el medio de transporte que utiliza,,Uso de aerosoles y productos químicos,Moderado,Camión pesado,,Bicicleta,,Inseguridad,,Nada influyente,Nada influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Mujer,No,6.3012711,-75.5486834,1628.5,11.594
393,5686.305390857143,Presencial por intersección,Masculino,Si,25,25 - 34 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Técnico profesional,No,Trabajar,"Empleado en empresa, gobierno u organización",De lunes a sábado,,,,,,,,,,,,Con otros familiares diferentes a sus hijos o pareja,Estrato 6,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,"Sí, auto y motocicleta",Si de auto y motocicleta,0,,1,1,Moto 4T,,150 cc,,Gasolina corriente,,2023,Medellín,Conductor,Algunas veces,1,45,,,,,,Medellín,Comuna 14 - El Poblado,Medellín,No sabe. ¿A dónde se dirige?,Trabajo en diferentes barrios y municipios,Tres,Más de 20 km,Ir a trabajar,,,,,,,Muy satisfecho,El tiempo de viaje,La distancia que debe recorrer,La exposición a condiciones climáticas desfavorables (lluvia o calor),Tiempos de espera largos o inciertos,Congestión de tráfico,,4,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Moto 4T,,Es el medio de transporte que utiliza,,Construcciones y obras civiles o demoliciones,Moderado,Automóviles particulares,,Caminata,,Inseguridad,,Nada influyente,Nada influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Hombre,No,6.3013074,-75.5486969,1627.5,13.113
394,6234.031860000001,Presencial por intersección,Femenino,Si,38,35 - 44 años,No,Si,Si,Si,Antioquia,Bello,,,Ninguna de las anteriores,No,Universitario,No,Trabajar,"Empleado en empresa, gobierno u organización",De lunes a viernes,,,,,,,,,,,,Con su pareja y sus hijos o hijas,Estrato 5,Menos de 100 mil pesos,No,,Ninguna dificultad,,"Sí, auto","Si, auto",2,1,0,,Automóvil,Entre 1000 y 1499 cc,,,Gas Natural Vehicular y gasolina,,2025,Medellín,Conductor,Algunas veces,3,35,,,,,,Medellín,Comuna 14 - El Poblado,Medellín,Comuna 9 - Buenos Aires,,Uno,Entre 11 y 15 km,Ir a trabajar,,,,,,,Ni satisfecho ni insatifecho,El tiempo de viaje,La distancia que debe recorrer,Nada me disgusta,Tiempos de espera largos o inciertos,Congestión de tráfico,,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Automóvil,,Es el medio de transporte que utiliza,,Vertederos (basureros) y rellenos sanitarios,Alto,Van/Camioneta con platón,,Bicicleta,,Inseguridad,,Nada influyente,Nada influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Mujer,No,6.3012773,-75.5487006,1628.400024,11.656
395,3022.68518475,Presencial por intersección,Femenino,Si,39,35 - 44 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Tecnológico,No,Hacer trabajo doméstico en su propio hogar,,,,,,,,,,,,,,Con su pareja y sus hijos o hijas,Estrato 6,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,"Sí, motocicleta",No,0,,1,0,"Automóvil en plataforma (Ejemplo:Uber, Yango, Didi, InDriver)",,,,,,,,,,,40,,,,,,Medellín,Comuna 14 - El Poblado,Medellín,Comuna 10 - La Candelaria,,Cuatro o más,Más de 20 km,A realizar compras,,,,,,,Satisfecho,La percepción de seguridad,La comodidad (confort),Nada me disgusta,Tiempos de viaje largos o inciertos,Multitud de personas,,Muy importante,4,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,3,Automóvil,,Costos asociados,,Los vehículos que circulan en la ciudad,Alto,Camión pesado,,Caminata,,Inseguridad,,Nada influyente,Nada influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Mujer,No,6.3012603,-75.548719,1628.5,13.305
396,5686.305390857143,Presencial por intersección,Masculino,Si,42,35 - 44 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Universitario,No,Trabajar,Trabajador independiente o por cuenta propia,De lunes a sábado,,,,,,,,,,,,Con su pareja y sus hijos o hijas,Estrato 6,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,"Sí, auto y motocicleta",Si de auto y motocicleta,1,1,2,1,Moto 4T,,150 cc,,Gasolina extra,,2024,Medellín,Conductor,Algunas veces,1,35,,,,,,Medellín,Comuna 14 - El Poblado,Medellín,Comuna 11 - Laureles Estadio,,Uno,Entre 11 y 15 km,Ir a trabajar,,,,,,,Satisfecho,El tiempo de viaje,La autonomía o control sobre el viaje,Nada me disgusta,Tiempos de viaje largos o inciertos,Congestión de tráfico,,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Moto 4T,,Es el medio de transporte que utiliza,,Los vehículos que circulan en la ciudad,Alto,Camión pesado,,Caminata,,Inseguridad,,Nada influyente,Nada influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Hombre,No,6.3012704,-75.5487146,1628.5,13.713
397,3022.68518475,Presencial por intersección,Femenino,Si,43,35 - 44 años,No,Si,Si,Si,Bogotá,Bogotá,,,Ninguna de las anteriores,No,Universitario,No,Trabajar,Trabajador independiente o por cuenta propia,Lunes,Miércoles,Viernes,,,,,,,,,,"Con su pareja, sus hijos y otros familiares",Estrato 6,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,"Sí, auto","Si, auto",2,1,1,0,Automóvil,Entre 1500 y 1999 cc,,,Gasolina extra,,2024,Medellín,Conductor,Algunas veces,3,40,,,,,,Medellín,Comuna 14 - El Poblado,Medellín,Comuna 10 - La Candelaria,,Uno,Entre 16 y 20 km,Ir a trabajar,,,,,,,Muy satisfecho,La percepción de seguridad,La distancia que debe recorrer,Nada me disgusta,Congestión de tráfico,Multitud de personas,,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Automóvil,,Es el medio de transporte que utiliza,,Empresas manufactureras,Alto,"Bus, colectivo, busetas",,Bicicleta,,Inseguridad,,Nada influyente,Nada influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Mujer,No,6.3012847,-75.5487118,1628.5,13.77
398,2565.39558,Presencial por intersección,Masculino,Si,23,18 - 24 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Técnico profesional,No,Trabajar,"Empleado en empresa, gobierno u organización",De lunes a sábado,,,,,,,,,,,,Con otros familiares diferentes a sus hijos o pareja,Estrato 5,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,"Sí, motocicleta",No,1,0,2,0,"Bus, colectivo, buseta",,,,,,,,,,,,5,15,20,5,,Medellín,Comuna 14 - El Poblado,Medellín,Comuna 16 - Belén,,Uno,Entre 16 y 20 km,Ir a trabajar,,,,,,,Satisfecho,La comodidad (confort),,La falta de autonomía o control sobre el viaje,Tiempos de espera largos o inciertos,,,4,4,4,4,4,3,4,4,Muy importante,Moto 4T,,Costos asociados,,Uso de aerosoles y productos químicos,Moderado,Camión pesado,,Bicicleta,,Inseguridad,,Nada influyente,Nada influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Hombre,No,6.3012911,-75.5487011,1628.5,13.014
399,2799.8482720000006,Presencial por intersección,Masculino,Si,33,25 - 34 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Tecnológico,No,Trabajar,Trabajador independiente o por cuenta propia,De lunes a domingo,,,,,,,,,,,,Sola(o),Estrato 5,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,"Sí, auto y motocicleta",No,0,,0,,Metro,,,,,,,,,,,,20,15,20,5,,Medellín,Comuna 16 - Belén,Medellín,Comuna 16 - Belén,,Uno,Entre 6 y 10 km,Ir a trabajar,,,,,,,Muy satisfecho,Por razones medioambientales (consciencia ambiental),El costo (sus posibilidades económicas o capacidad adquisitiva),Las condiciones de incomodidad,Multitud de personas,Ser víctima de robo o atraco,,Muy importante,Nada Importante,Nada Importante,Muy importante,Muy importante,Muy importante,Muy importante,Nada Importante,Nada Importante,Metro,,Costos asociados,,Los vehículos que circulan en la ciudad,Bajo,"Bus, colectivo, busetas",,Bicicleta,,Inseguridad,,Nada influyente,Nada influyente,No,No,No,Si,No,No,No,No,,En el metro,,,"Cambió de lugar (por ejemplo, caminó hacía otro paradero, o se cambio de puesto en el bus)",,,No,Hombre,No,6.263954,-75.5685339,1487.800049,98.4
400,2799.8482720000006,Presencial por intersección,Masculino,Si,53,45 - 54 años,No,Si,Si,Si,Bogotá,Bogotá,,,Ninguna de las anteriores,No,Secundaria completa,No,Trabajar,"Profesional independiente (por ejemplo, por prestación de servicios)",De lunes a domingo,,,,,,,,,,,,Con su pareja y otros familiares,Estrato 5,Menos de 100 mil pesos,No,,Ninguna dificultad,,No,No,0,,0,,Bicicleta,,,,,,,,,,,20,,,,,,Medellín,Comuna 16 - Belén,Medellín,Comuna 16 - Belén,,Uno,Menos de 5 km,Ir a trabajar,,,,,,,Muy satisfecho,La comodidad (confort),,"La percepción de inseguridad personal (robo o atraco, acoso o violencia de algún tipo)",Congestión de tráfico,,,Nada Importante,Muy importante,Muy importante,Muy importante,Muy importante,Nada Importante,Nada Importante,Nada Importante,Nada Importante,Bicicleta,,Tiempos de viaje o espera asociados,,Los vehículos que circulan en la ciudad,Nulo,"Bus, colectivo, busetas",,Bicicleta,,Inseguridad,,Nada influyente,Nada influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Hombre,No,6.2639505,-75.5684441,1488,32.9
401,3324.8198230000003,Presencial por intersección,Masculino,Si,59,55 - 64 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Universitario,No,Trabajar,Trabajador independiente o por cuenta propia,De lunes a domingo,,,,,,,,,,,,Sola(o),Estrato 4,Entre 300 mil y 500 mil pesos,No,,Ninguna dificultad,,No,No,0,,0,,Metro,,,,,,,,,,,,15,15,30,5,,Medellín,Comuna 16 - Belén,Itagüí,Comuna 16 - Belén,,Uno,Menos de 5 km,Ir a trabajar,,,,,,,Poco Satisfecho,El tiempo de viaje,El costo (sus posibilidades económicas o capacidad adquisitiva),Las condiciones de incomodidad,Congestión de tráfico,,,Muy importante,Nada Importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Metro,,Es el medio de transporte que utiliza,,Los vehículos que circulan en la ciudad,Nulo,"Bus, colectivo, busetas",,Bicicleta,,Inseguridad,,Nada influyente,Nada influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Hombre,No,6.2639621,-75.5683724,1487.300049,98.4
402,4736.6344272,Presencial por intersección,Femenino,Si,41,35 - 44 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Secundaria completa,No,Trabajar,Trabajador independiente o por cuenta propia,De lunes a sábado,,,,,,,,,,,,Con su pareja y sus hijos o hijas,Estrato 4,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,"Sí, motocicleta","Si, motocicleta",0,,1,1,Moto 4T,,150 cc,,Gasolina corriente,,2017,Medellín,Conductor,Nunca,,30,,,,,,Medellín,Comuna 16 - Belén,Medellín,Comuna 10 - La Candelaria,,Dos,Entre 6 y 10 km,"A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo",,,,,,,Muy satisfecho,La distancia que debe recorrer,El costo (sus posibilidades económicas o capacidad adquisitiva),La exposición a condiciones climáticas desfavorables (lluvia o calor),Congestión de tráfico,Multitud de personas,,Muy importante,3,Muy importante,Muy importante,2,3,3,3,3,Moto 4T,,Es el medio de transporte que utiliza,,Vertederos (basureros) y rellenos sanitarios,Moderado,Camión pesado,,Caminata,,Inseguridad,,3,Muy influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Mujer,No,6.2320088,-75.6147464,1635.900024,12.908
403,2939.89516,Presencial por intersección,Femenino,Si,29,25 - 34 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Técnico profesional,No,Trabajar,Trabajador independiente o por cuenta propia,De lunes a viernes,,,,,,,,,,,,Con su pareja y sus hijos o hijas,Estrato 4,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,No,No,0,,0,,Metro,,,,,,,,,,,,15,5,20,10,,Medellín,Comuna 7 - Robledo,Medellín,Comuna 12 - La América,,Dos,Entre 6 y 10 km,Ir a trabajar,,,,,,,Satisfecho,La comodidad (confort),La distancia que debe recorrer,Nada me disgusta,Exposición a condiciones climáticas desfavorables (lluvia o calor),,,4,3,Muy importante,Muy importante,Muy importante,3,3,4,3,Automóvil,,Costos asociados,,Construcciones y obras civiles o demoliciones,Nulo,Camión pesado,,Caminata,,Inseguridad,,Muy influyente,Muy influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Mujer,No,6.2312524,-75.6143827,1607,19.44
404,2939.89516,Presencial por intersección,Femenino,Si,24,18 - 24 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Secundaria completa,No,Trabajar,Trabajador independiente o por cuenta propia,De lunes a viernes,,,,,,,,,,,,Con otros familiares diferentes a sus hijos o pareja,Estrato 4,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,No,No,0,,0,,"Automóvil en plataforma (Ejemplo:Uber, Yango, Didi, InDriver)",,,,,,,,,,,35,,,,,,Medellín,Comuna 7 - Robledo,Medellín,Comuna 10 - La Candelaria,,Dos,Entre 6 y 10 km,Ir a trabajar,,,,,,,Muy satisfecho,La comodidad (confort),La distancia que debe recorrer,Nada me disgusta,Congestión de tráfico,Multitud de personas,,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Automóvil en plataforma (Ejemplo:Uber),,Es el medio de transporte que utiliza,,Vertederos (basureros) y rellenos sanitarios,Moderado,Camión pesado,,Caminata,,Inseguridad,,Muy influyente,Muy influyente,Si,Si,Si,Si,Si,Si,No,No,,En un bus de transporte intermunicipal,,,Se bajó del modo de transporte,,,No,Mujer,No,6.2312403,-75.6143931,1607,24.363
405,3022.68518475,Presencial por intersección,Femenino,Si,35,35 - 44 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Universitario,No,Trabajar,"Profesional independiente (por ejemplo, por prestación de servicios)",De lunes a sábado,,,,,,,,,,,,Con su pareja y sus hijos o hijas,Estrato 6,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,"Sí, motocicleta","Si, motocicleta",0,,1,1,Moto 4T,,125 cc,,Gasolina extra,,2024,Medellín,Conductor,Algunas veces,1,35,,,,,,Medellín,Comuna 14 - El Poblado,Medellín,Comuna 10 - La Candelaria,,Uno,Entre 16 y 20 km,Ir a trabajar,,,,,,,Satisfecho,La comodidad (confort),La distancia que debe recorrer,La vulnerabilidad frente accidentes de tránsito,Exposición a condiciones climáticas desfavorables (lluvia o calor),,,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Moto 4T,,Es el medio de transporte que utiliza,,Construcciones y obras civiles o demoliciones,Bajo,"Bus, colectivo, busetas",,Bicicleta,,Inseguridad,,Nada influyente,Nada influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Mujer,No,6.3012682,-75.548719,1628.5,13.496
